EEKUV,Essen-Kupferdreh
EHATE,Hattingen(Ruhr)
EWAL,Wahlbach (Kr Siegen)
FAHMR,Alsheim
FATC,Ahnatal-Casselbreite
FBODW,Bodenheim
FFAU,Frankfurt(Main)Hbf
FFLF,Frankfurt(M)Flugh.
FFLU,Frankfurt(M)Flugh.
FFLUB,Frankfurt(M)Flugh.
FFT,Frankfurt(Main)Hbf
FFU U,Fulda
FG  U,Gießen
FKKVG,Kassel Hbf
FL  B,Limburg(Lahn)
FLISB,Limburg Süd
FMETR,Mettenheim
FML O,Mainz-Laubenheim
FNACT,Nackenheim
FOPPO,Oppenheim
FULB,Frankfurt-Unterlied.
FWORB,Worms Hbf
HB  B,Bremen Hbf
HBH F,Bremerhaven Hbf
HBH S,Bremerhaven Hbf
HBOIP,Lengede-Broistedt
HBOO,Bohmte
HBS Z,Braunschweig Hbf
HC  B,Celle
HDSU,Delmenhorst
HDUD,Duderstadt
HE  F,Emden Hbf
HEMTD,Emmerthal
HESNE,Essen(Oldb)
HG  B,Göttingen
HGS B,Goslar
HHEGH,Hoheneggelsen
HHOLH,Holtensen/Linderte
HJ  Z,Jever
HK  O,Kreiensen
HLBS,Lüneburg
HLEEB,Leer(Ostfriesl)
HMEPE,Meppen
HMNO,Minden(Westf)
HND F,Norddeich
HRAHM,Rahden(Kr Lübbecke)
HSO A,Soltau(Han)
HU  Z,Uelzen
HVOLD,Voldagsen
HW  H,Wilhelmshaven Hbf
HWKDB,Walkenried
HWWIG,Woltwiesche
KADP,Alsdorf-Poststraße
KBHG,Merten(Sieg)
KBLM,Brühl
KBP,Köln Airport-Busin.
KBROB,Brohl
KGKKB,Geilenkirchen
KK  P,Köln Hbf
KK  T,Köln Hbf
KKC N,Köln-Chorweiler
KKDT,Köln Messe/Deutz
KKDZB,Köln Messe/Deutz
KKOHA,Kottenheim
KKOWF,Königswinter
KKR N,Krefeld Hbf
KMIEA,Miesenheim
KMYWN,Mayen West
KMYWO,Mayen West
KNMEB,Mendig
KPL B,Plaidt
KST B,Stolberg(Rheinl)Hbf
KTH B,Thür
LDL,Delitzsch
LDLO,Delitzsch
LDO A,Döberitz
LFLUA,Leipzig/Halle Flugh
LH  B,Halle(Saale)Hbf
LL  B,Leipzig Hbf
LL  T,Leipzig Hbf
LLMHH,Leipzig-Möckern
LLW P,Leipzig-Wahren
LLW R,Leipzig-Wahren
LM  B,Magdeburg Hbf
LMTW,Magdeb. SKET Industriepark
LPZ K,Premnitz Nord
LSBSM,Schönebeck Süd
LSD D,Schkeuditz
LSD E,Schkeuditz
MFHTP,München Flughafen T
MH  A,München Hbf
MH  N,München Hbf
MH  S,München Hbf
MHT,München Hbf
MMAM,Mammendorf(MVV)
MMAMH,Mammendorf(MVV)
MNL B,Nördlingen
MST S,Starnberg
NBIM,Bischofsheim(Rhön)
NBNEB,Bad Neustadt(Saale)
NEBMD,Ebermannstadt
NGUNB,Gunzenhausen
NGZ N,Gotteszell
NN  V,Nürnberg Hbf
NND,Nürnberg Frankensta
OXBMN,Braunschweig Hbf
OXNHU,Nürnberg Hbf
OXNN,Nürnberg Nordost
PRIS,Siegburg/Bonn
RBE S,Beringen Bad Bf
RBTIK,Bretten-Ruit
RBTNA,Bretten Rechberg
RDO B,Donaueschingen
RDUN,Durmersheim
REMMB,Emmendingen
REPW,Eppingen
RFHS,Friedrichshafen Haf.
RGNNP,Graben-Neudorf Nord
RGO M,Gondelsheim(Baden)
RGOI,Gölshausen
RH  B,Heidelberg Hbf
RH  G,Heidelb.-W/S.stadt
RH  O,Heidelb.Orthopädie
RH  P,Heidelb.-W/S.stadt
RH  S,Heidelb.Orthopädie
RHI M,Heidelsheim
RHL K,Haltingen
RHM,Helmstadt
RHSMB,Helmsheim
RHTTK,Huttenheim
RHTTP,Huttenheim
RIM B,Immendingen
RJLW,Jöhlingen
RKV,Karlsruhe Hbf
RL  B,Ludwigshafen(Rh)Hbf
RLBM,Ludwigshafen BASF S
RLBN,Ludwigshafen BASF S
RLBPK,Lambrecht(Pfalz)
RLBPP,Lambrecht(Pfalz)
RLI S,Limburgerhof
RLR G,Lörrach Hbf
RMAI,Maximiliansau-Im Rü
RMBN,Mannheim Hbf
RMH R,Mühlhausen(b Engen)
RMHB,Mannheim Hbf
RNFLG,Neidenfels
RNFLS,Neidenfels
RNHNK,Neuhausen Bad Bf
RNM P,Neckargemünd
RPB A,Philippsburg(Baden)
RPB M,Philippsburg(Baden)
RPB S,Philippsburg(Baden)
RRHHS,Rheinsheim
RRZS,Radolfzell
RSFR,Sulzfeld(Baden)
RSI B,Singen(Hohentwiel)
RSLA,Söllingen(b Karlsr)
RSLR,Söllingen(b Karlsr)
RT  T,Trasadingen
RWE L,Weinheim(Bergstr)
RWSO,Wössingen
RWU B,Waldshut
SBH,Baumholder
SBS B,Besch
SDKM,Urmersbach
SKL F,Kaiserslautern Hbf
SKLH,Hohenecken
SMBT,Dahn
SPZ B,Palzem
SREI,Reil(DB)
SWE K,Wehr(Mosel)
SWN B,Wellen(Mosel)
TAM M,Amstetten(Württ)
TAM S,Amstetten(Württ)
TBCS,Heilbr-Böckingen BZ
TBCW,Heilbr-Böckingen BZ
TBRUU,Brucken
TBSK,Bad Schussenried St.
TCAS,Calmbach Bahnhof
TDT S,Dettingen(Teck)
TENTH,Entringen
TENTO,Entringen
TERD,Erdmannhausen-Riel.
TERDH,Erdmannhausen-Riel.
TERDS,Erdmannhausen-Riel.
TFB B,Fornsbach
TGDS,Gaildorf West
TGO B,Göppingen
TH  A,Heilbr.Finanz/Pfühl
TH  B,Heilbronn Hbf
TH  F,Heilbr.Harmon/Fried
TH  H,Heilbr.Harmon/Fried
TH  P,Heilbr.NeckarT/Rath
TH  R,Heilbr.NeckarT/Rath
TH  U,Heilbr.Finanz/Pfühl
THF R,Hochdorf(b Horb)
THON,Höfen(Enz) Bf
TKAUB,Künzelsau
TKIMM,Kirchberg(Murr)
TKIMR,Kirchberg(Murr)
TKTSP,Kirchheim(Teck)Süd
TLGO,Leingarten
TM  B,Mühlacker
TMAG,Magstadt
TMBM,Marbach(b Münsing.)
TMBSK,Maulbronn Stadt
TMBSP,Maulbronn Stadt
TNA E,Nagold-Steinberg
TNEB,Neuenbürg(Enz) Süd
TNEE,Neuenbürg(Enz) Süd
TOEDH,Ölbronn-Dürrn
TOP O,Oppenweiler(Württ)
TOR,Ostrach
TOW B,Owen(Teck)
TPBS,Brötzingen Mitte
TPBW,Brötzingen Mitte
TRLO,Reicholzheim
TRY,Neuenbürg(Enz) Süd
TS  B,Stuttgart Hbf
TS  T,Stuttgart Hbf
TSHA,Schmiechen
TSIB,Sindelfingen
TST,Stuttgart Hbf
TSWO,Schwaigern(Württ)
TUL B,Unterlenningen
TUL R,Unterlenningen
TV  W,Vaihingen(Enz)
TWG H,Waldenburg(Württ)
UBK B,Berga-Kelbra
UDA B,Dachrieden
UE  K,Erfurt Nord
UE  W,Erfurt Hbf
UGZ W,Gera-Zwötzen
ULS B,Bad Langensalza
UO  O,Orlamünde
UOF R,Oberhof(Thür)
UOFF,Oberhof(Thür)
WBERD,Bergsdorf
WBGB,Bergen auf Rügen
WBH B,Barth
WDWEK,Dannenwalde(Gransee)
WF  L,Fürstenberg(Havel)
WG  O,Güstrow
WG  W,Güstrow
WGRAG,Gransee
WH  Z,Hagenow Stadt
WHEGF,Heiligengrabe
WHEGS,Heiligengrabe
WKENB,Kenz
WKN,Velgast
WKTI,Tessin West
WLBTA,Liebenthal(Prign)
WLO B,Löwenberg(Mark)
WLO K,Löwenberg(Mark)
WLO S,Löwenberg(Mark)
WLODB,Löwenberg Dorf
WNASK,Nassenheide
WNAST,Nassenheide
WNTS,Neustrelitz Hbf
WPM,Parchim(Übg)MEB/ODE
WR  A,Rostock Hbf
WRI B,Ribnitz-Damgarten W
WSAAB,Saatel
WSR B,Stralsund Hbf
WSRH,Stralsund Hbf
WSZ W,Sassnitz
WV  B,Velgast
WWR T,Waren(Müritz)
WZECZ,Zehdenick(Mark)
XABIA,Almkopfbahn
XART,Reutte(Tirol)
XARTS,Reutte(Tirol)Schulz.
XATX,Salzburg-Taxham Euro
XAU,Ulrichsbrücke-Füss
XAV,Vils
XFWBG,Wissembourg(fr)
